experiment,class,precision,recall,f-measure
v1-logmel-f,Meerkat alarm call,0.5942028985507246,1.0,0.7454545454545455
v1-logmel-f,Meerkat move call,0.07518796992481203,0.9090909090909091,0.1388888888888889
v1-logmel-f,Blackbird call,0.13725990196078433,0.05147558823529411,0.0748713101604278
v1-logmel-f,Song thrush call,0.0043657656984499894,0.13112124282337048,0.00841051996915135
v1-logmel-neg-contrast,Meerkat alarm call,0.35514018691588783,0.926829268292683,0.5135135135135135
v1-logmel-neg-contrast,Meerkat move call,0.01584507042253521,0.8181818181818182,0.031088082901554404
v1-logmel-neg-contrast,Blackbird call,0.20313,0.04779911764705882,0.07738595238095239
v1-logmel-neg-contrast,Song thrush call,0.002418629846371338,0.10325903411009793,0.004725644713112377
v1-logmel-neg-contrast-f,Meerkat alarm call,0.35514018691588783,0.926829268292683,0.5135135135135135
v1-logmel-neg-contrast-f,Meerkat move call,0.01584507042253521,0.8181818181818182,0.031088082901554404
v1-logmel-neg-contrast-f,Blackbird call,0.20313,0.04779911764705882,0.07738595238095239
v1-logmel-neg-contrast-f,Song thrush call,0.002418629846371338,0.10325903411009793,0.004725644713112377
v1-pcen-f,Meerkat alarm call,0.09732360097323602,0.975609756097561,0.17699115044247787
v1-pcen-f,Meerkat move call,0.01079913606911447,0.45454545454545453,0.02109704641350211
v1-pcen-f,Blackbird call,0.009189041470246635,0.04694250581588568,0.01536915344172351
v1-pcen-f,Song thrush call,0.005415751167261741,0.10334346504559269,0.010142571931288556
v1-pcen-neg-contrast-f,Meerkat alarm call,0.14335664335664336,1.0,0.25076452599388377
v1-pcen-neg-contrast-f,Meerkat move call,0.024390243902439025,0.9090909090909091,0.047505938242280284
v1-pcen-neg-contrast-f,Blackbird call,0.04032758064516129,0.03676970588235294,0.03846653846153846
v1-pcen-neg-contrast-f,Song thrush call,0.0019493870237405463,0.07944951030057412,0.003804471581192392
v1-pcen-neg-csv-f,Meerkat alarm call,0.14335664335664336,1.0,0.25076452599388377
v1-pcen-neg-csv-f,Meerkat move call,0.024390243902439025,0.9090909090909091,0.047505938242280284
v1-pcen-neg-csv-f,Blackbird call,0.04032758064516129,0.03676970588235294,0.03846653846153846
v1-pcen-neg-csv-f,Song thrush call,0.0019493870237405463,0.07944951030057412,0.003804471581192392
v2-logmel-neg-contrast-f,Meerkat alarm call,0.20454545454545456,0.21951219512195122,0.21176470588235294
v2-logmel-neg-contrast-f,Meerkat move call,0.06818181818181818,0.5454545454545454,0.12121212121212122
v2-logmel-neg-contrast-f,Blackbird call,0.0018776591760299626,0.003429657534246575,0.0024263075060532687
v2-logmel-neg-contrast-f,Song thrush call,0.33333333333333337,0.023891661773341163,0.044224294224294226
